,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,1.0,1.0,12.0,0.9230769230769231,0.9230769230769231,0.8947368421052632,0.6842105263157895,0.9230769230769231,0.7564102564102564,0.9230769230769231
1,5.0,1.0,1.0,12.0,0.9230769230769231,0.9230769230769231,0.8947368421052632,0.6842105263157895,0.9230769230769231,0.7564102564102564,0.9487179487179488
2,6.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.8947368421052632,0.631578947368421,0.9166666666666666,0.7738095238095238,0.9285714285714286
3,7.0,0.0,4.0,8.0,1.0,0.6666666666666666,0.7894736842105263,0.42105263157894735,0.8,0.6513389472789296,0.9523809523809523
4,7.0,0.0,0.0,12.0,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0
5,6.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.8421052631578947,0.5789473684210527,0.8695652173913043,0.6746010525388914,0.9404761904761905
6,6.0,0.0,0.0,12.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
7,5.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.6666666666666666,0.9166666666666666,0.75,0.9583333333333333
8,4.0,2.0,1.0,11.0,0.8461538461538461,0.9166666666666666,0.8333333333333334,0.7222222222222222,0.8799999999999999,0.6139406135149204,0.7777777777777779
9,6.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9444444444444444,0.6111111111111112,0.9565217391304348,0.8864052604279183,0.9583333333333334
10,57.0,7.0,12.0,110.0,0.9434731934731936,0.9012820512820513,0.8982456140350878,0.6298245614035087,0.9185574136008918,0.7862915910390696,0.9387667887667888
