,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,25.0,0.0,0.0,5.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0
1,24.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9666666666666667,0.2,0.9090909090909091,0.894427190999916,0.98
2,24.0,0.0,2.0,4.0,1.0,0.6666666666666666,0.9333333333333333,0.13333333333333333,0.8,0.7844645405527361,0.8333333333333333
3,24.0,0.0,2.0,4.0,1.0,0.6666666666666666,0.9333333333333333,0.13333333333333333,0.8,0.7844645405527361,0.8333333333333333
4,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
5,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
6,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9583333333333333
7,24.0,0.0,1.0,4.0,1.0,0.8,0.9655172413793104,0.13793103448275862,0.888888888888889,0.8763560920082657,0.9
8,23.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9655172413793104,0.20689655172413793,0.9090909090909091,0.8936504412303007,0.9791666666666667
9,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9583333333333333
10,236.0,6.0,5.0,47.0,0.9095238095238095,0.9133333333333333,0.9626436781609196,0.18057471264367814,0.8973737373737374,0.885170999276933,0.94425
