,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,19.0,2.0,0.0,2.0,0.5,1.0,0.9130434782608695,0.17391304347826086,0.6666666666666666,0.6725927091345493,0.9523809523809523
1,20.0,0.0,1.0,1.0,1.0,0.5,0.9545454545454546,0.045454545454545456,0.6666666666666666,0.6900655593423543,1.0
2,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0
3,19.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9545454545454546,0.13636363636363635,0.8,0.7958224257542214,1.0
4,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0
5,19.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9545454545454546,0.13636363636363635,0.8,0.7958224257542214,0.975
6,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,1.0
7,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0
8,20.0,0.0,1.0,1.0,1.0,0.5,0.9545454545454546,0.045454545454545456,0.6666666666666666,0.6900655593423543,1.0
9,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.95
10,193.0,8.0,2.0,18.0,0.7833333333333333,0.9,0.9549407114624506,0.11739130434782608,0.7933333333333333,0.7986009465827575,0.9877380952380952
